238,119,12495,136,4166,0
240,120,12393,139,4132,0
242,121,12291,136,4098,0
244,122,12192,137,4065,0
246,123,12093,138,4032,0
248,124,10664,134,2667,0
250,125,10578,138,2645,0
252,126,10496,135,2624,0
254,127,10414,136,2604,0
256,128,10332,142,2583,0
258,129,10254,140,2564,0
260,130,10174,133,2544,0
262,131,10098,143,2525,0
264,132,10022,140,2506,0
266,133,10328,140,2297,0
268,134,10236,141,2287,0
270,135,10500,139,2101,0
272,136,10132,142,2232,0
274,137,9866,149,2312,0
276,138,10218,144,2083,0
278,139,10654,137,1814,0
280,140,10636,130,1773,0
282,141,10582,145,1750,0
284,142,10594,141,1695,0
286,143,10700,129,1593,0
288,144,11030,136,1380,0
290,145,10798,134,1449,0
292,146,10706,129,1447,0
294,147,11000,128,1255,0
296,148,10780,149,1320,0
298,149,10966,130,1182,0
300,150,10938,132,1152,0
302,151,6577,49,0,0
304,152,6534,47,0,0
306,153,6492,47,0,0
308,154,6450,46,0,0
310,155,6409,45,0,0
312,156,6368,47,0,0
314,157,6328,46,0,0
316,158,6288,46,0,0
318,159,6249,46,0,0
320,160,6210,46,0,0
322,161,6171,50,0,0
324,162,6133,42,0,0
326,163,6096,61,0,0
328,164,6059,50,0,0
330,165,6023,48,0,0
332,166,5987,48,0,0
334,167,5951,49,0,0
336,168,5916,46,0,0
338,169,5881,48,0,0
340,170,5846,49,0,0
342,171,5812,49,0,0
344,172,5779,48,0,0
346,173,5746,46,0,0
348,174,5713,50,0,0
350,175,5680,46,0,0
352,176,5648,48,0,0
354,177,5616,48,0,0
356,178,5585,48,0,0
358,179,5554,47,0,0
360,180,5523,48,0,0
362,181,5493,52,0,0
364,182,5463,47,0,0
366,183,5433,44,0,0
368,184,5404,43,0,0
370,185,5375,47,0,0
372,186,5346,50,0,0
374,187,5318,47,0,0
376,188,5290,47,0,0
378,189,5262,46,0,0
380,190,5234,48,0,0
382,191,5207,48,0,0
384,192,5180,52,0,0
386,193,5153,42,0,0
388,194,5127,47,0,0
390,195,5101,50,0,0
392,196,5075,45,0,0
394,197,5049,49,0,0
396,198,5024,49,0,0
398,199,4999,49,0,0
400,200,4974,48,0,0
402,201,4949,51,0,0
404,202,4925,44,0,0
406,203,4900,40,0,0
408,204,5110,45,0,233
